participant;percentage;time;pos_x_right;pos_y_right;dil_right;pos_x_left;pos_y_left;dil_left;brightness;fov;trial;;
Marion;30;5.06;-0.01736778;-0.01335081;5.71521;0.0496456;-5.39422E-06;5.829391;1;-1;1;;
Marion;30;5.08;-0.0173679;-0.01335081;5.71521;0.04964542;-5.334616E-06;5.829391;1;-1;1;;
Marion;30;5.1;-0.01769203;-0.01136389;5.737213;0.04752243;0.002943873;5.983932;1;-1;1;;
Marion;30;5.12;-0.02038285;-0.0111481;5.742004;0.04716337;-4.845858E-05;5.924484;1;-1;1;;
Marion;30;5.14;-0.01852682;-0.01234525;5.745819;0.04121625;-0.002922356;5.806519;1;-1;1;;
Marion;30;5.16;-0.0204522;-0.009969801;5.750519;0.04146278;-0.001745969;5.830109;1;-1;1;;
Marion;30;5.18;-0.0221886;-0.0112848;5.889923;0.04415023;-0.006350368;5.944672;1;-1;1;;
Marion;30;5.2;-0.02135634;-0.009279996;5.857651;0.04315561;-0.004418343;5.829102;1;-1;1;;
Marion;30;5.22;-0.01191711;-0.02433273;5.854065;0.03764915;-0.03862017;6.186859;1;-1;1;;
Marion;30;5.24;-0.008075088;-0.0253062;5.810608;0.06011921;-0.03612691;5.796783;1;-1;1;;
Marion;30;5.26;-0.01239976;-0.03280887;5.903656;0.05496907;-0.04844803;5.93187;1;-1;1;;
Marion;30;5.28;-0.0123997;-0.03280893;5.903656;0.05496907;-0.04844803;5.93187;1;-1;1;;
Marion;30;5.3;-0.01477981;-0.03415474;5.942581;0.04392189;-0.06826189;5.989807;1;-1;1;;
Marion;30;5.32;-0.01348203;-0.03661984;5.821701;-0.5;-0.5;-1;1;-1;1;;
Marion;30;5.34;-0.01500583;-0.03531656;5.921494;-0.5;-0.5;-1;1;-1;1;;
Marion;30;5.36;-0.01352477;-0.03684843;5.803162;-0.5;-0.5;-1;1;-1;1;;
Marion;30;5.38;-0.01460758;-0.03577119;5.798767;-0.5;-0.5;-1;1;-1;1;;
Marion;30;5.4;-0.01246986;-0.03047225;5.788696;-0.5;-0.5;-1;1;-1;1;;
Marion;30;5.42;-0.01500151;-0.0297547;5.827469;1;0.125;-1;1;-1;1;;
Marion;30;5.44;-0.01516673;-0.03241128;5.75972;0.0506503;-0.02995691;5.973206;1;-1;1;;
Marion;30;5.46;-0.01552388;-0.02559581;5.872543;0.0499571;-0.03012982;6.026749;1;-1;1;;
Marion;30;5.48;-0.01881269;-0.0232673;5.86911;0.0496158;-0.02460018;5.87851;1;-1;1;;
Marion;30;5.5;-0.01921886;-0.02346781;5.739471;0.04968607;-0.01950863;6.066223;1;-1;1;;
Marion;30;5.52;-0.02050063;-0.02743995;5.668884;0.04862082;-0.01500121;5.928635;1;-1;1;;
Marion;30;5.54;-0.02151182;-0.02902675;5.746902;0.04826063;-0.01753744;5.908218;1;-1;1;;
Marion;30;5.56;-0.02004269;-0.03163856;5.718246;0.05002844;-0.02043089;5.938263;1;-1;1;;
